Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num
Fall 2018,Applied Math & Statistics,Computational & Applied Math,366,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,367,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,368,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,369,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,370,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,371,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,372,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Business Spclty,375,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,377,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,380,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Data Science Spclty,381,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,385,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Data Science Spclty,388,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Data Science Spclty,390,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Robotics Intel Sys Spclty,392,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,393,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,CS-Data Science Spclty,396,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,401,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,405,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Spring 2018,Electrical Engineering,Electrical Engineering,452,Spring 2018,CSCI101,Pass,Spring,2018,Spring,2018,8072,8072
Spring 2018,Applied Math & Statistics,Data Science,453,Fall 2018,CSCI101,Pass,Fall,2018,Spring,2018,8075,8072
Summer One 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,489,Fall 2020,CSCI101,Pass,Fall,2020,Summer One,2018,8083,8073
Summer Two 2018,Electrical Engineering,EE-Antenn & Wirels Comm Spclty,490,Spring 2019,CSCI101,Pass,Spring,2019,Summer Two,2018,8076,8074
Fall 2017,Mechanical Engineering,Mechanical Engineering,505,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Physics,Engineering Physics,507,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2018,Mechanical Engineering,Mechanical Engineering,529,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2018,8080,8075
Fall 2018,Electrical Engineering,Electrical Engineering,530,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,Electrical Engineering,533,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,EE-Info Sys & Science Spclty,534,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,535,Spring 2022,CSCI101,Pass,Spring,2022,Fall,2018,8088,8075
Fall 2018,Electrical Engineering,Electrical Engineering,536,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Statistics,537,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,539,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,540,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2018,8079,8075
Fall 2018,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,542,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,543,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,544,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,Electrical Engineering,546,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,Electrical Engineering,547,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,551,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Engineering Design & Society,EG-Individualized Spclty,552,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Computational & Applied Math,553,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,554,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Geophysics,Geophysical Engineering,555,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,556,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Computational & Applied Math,557,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Applied Math & Statistics,Computational & Applied Math,558,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,559,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2018,8083,8075
Fall 2018,Geophysics,Geophysical Engineering,560,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,Electrical Engineering,561,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,562,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Electrical Engineering,Electrical Engineering,565,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,567,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Metallurgical & Materials Eng,Metallurgical & Materials Eng,569,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2018,Computer Science,CS-Data Science Spclty,572,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2019,Computer Science,Computer Science,584,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Physics,Nuclear Engineering,586,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,587,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Electrical Engineering,Electrical Engineering,591,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,593,Spring 2022,CSCI101,Pass,Spring,2022,Fall,2019,8088,8079
Fall 2019,Electrical Engineering,Electrical Engineering,595,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,596,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,Electrical Engineering,597,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,601,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,602,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,603,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Electrical Engineering,Electrical Engineering,604,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,Electrical Engineering,605,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Electrical Engineering,EE-Info Sys & Science Spclty,607,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Applied Math & Statistics,Computational & Applied Math,608,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,609,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Computer Science,Computer Science,614,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,615,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,Electrical Engineering,618,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Electrical Engineering,EE-Info Sys & Science Spclty,619,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,621,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,622,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Computer Science,CS-Data Science Spclty,630,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Computer Science,CS-Data Science Spclty,633,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2019,8083,8079
Fall 2019,Computer Science,Computer Science,635,Spring 2023,CSCI101,Pass,Spring,2023,Fall,2019,8092,8079
Fall 2019,Computer Science,Computer Science,637,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Computer Science,Statistics,639,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2019,8084,8079
Fall 2019,Computer Science,CS-Computer Eng Spclty,643,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Computer Science,CS-Data Science Spclty,644,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Spring 2019,Mechanical Engineering,Mechanical Engineering,696,Fall 2020,CSCI101,Pass,Fall,2020,Spring,2019,8083,8076
Spring 2019,Computer Science,Computer Science,697,Spring 2020,CSCI101,Pass,Spring,2020,Spring,2019,8080,8076
Summer 2019,Physics,Engineering Physics,735,Fall 2019,CSCI101,Pass,Fall,2019,Summer,2019,8079,8077
Summer 2019,Computer Science,Computer Science,738,Fall 2022,CSCI101,Pass,Fall,2022,Summer,2019,8091,8077
Summer Two 2018,Electrical Engineering,Electrical Engineering,745,Fall 2022,CSCI101,Pass,Fall,2022,Summer Two,2018,8091,8074
Summer Two 2018,Electrical Engineering,Electrical Engineering,746,Fall 2018,CSCI101,Pass,Fall,2018,Summer Two,2018,8075,8074
Summer Two 2018,Computer Science,CS-Robotics Intel Sys Spclty,747,Fall 2018,CSCI101,Pass,Fall,2018,Summer Two,2018,8075,8074
Fall 2017,Mechanical Engineering,Mechanical Engineering,760,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Physics,Engineering Physics,762,Fall 2020,CSCI101,Pass,Fall,2020,Fall,2017,8083,8071
Fall 2018,Civil & Environmental Enginrng,Civil Engineering,780,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Mechanical Engineering,Mechanical Engineering,782,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2018,8076,8075
Fall 2019,Applied Math & Statistics,Computational & Applied Math,808,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,809,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,811,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,812,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
