Semester Admitted,Department,Major,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,,,,Spring 2023,,,Fall 2023,,,,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Physics,Engineering Physics,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,,,,Fall 2023,,,,
Fall 2022,Undecided,Undecided,Spring 2023,,,,Summer 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Physics,Engineering Physics,,Fall 2022,,,Fall 2022,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Spring 2023,,,,,,,Fall 2023,,,Fall 2022,,,Fall 2023,,,,,,,
Fall 2022,Mechanical Engineering,Mechanical Engineering,Spring 2023,,,,Summer 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,,
Fall 2022,Computer Science,CS-Business Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Fall 2023,,,,,,Spring 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,,,,,,,Fall 2022,Fall 2022,,,Spring 2023,Spring 2023
Fall 2022,Computer Science,CS-Business Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Spring 2023,,,,,,,,Fall 2022,,Fall 2022,,,Spring 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Economics and Business,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,,,,,,
Fall 2022,Petroleum,Petroleum Engineering,,,,,,,,,,Fall 2022,Spring 2022,Fall 2022,,,,Summer 2023,,,,Spring 2023,
Fall 2022,Physics,Engineering Physics,,,,,,,,,,Spring 2017,,,,,Fall 2022,Fall 2022,,,,Fall 2023,Fall 2023
Fall 2022,Physics,Quantum Engineering,Spring 2021,,,,,,,,,,Fall 2018,,Fall 2018,Spring 2019,,Fall 2019,,,,,
Fall 2022,Mechanical Engineering,Robotics,Spring 2020,,,,,,,,,,Fall 2019,Fall 2021,,,,,Spring 2022,,,Spring 2023,
Fall 2022,Interdisciplinary Program,Space Resources,,,,,,,,,,,,,,Fall 2022,Fall 2022,Fall 2022,,,,Fall 2022,Spring 2023
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2022,,,,Spring 2023,,,Summer 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Spring 2023,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Spring 2023,,,,Summer 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Space Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,Fall 2022,,,Fall 2022,,,,Fall 2023,Spring 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Fall 2023,,,,,,Spring 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Petroleum,Petroleum Engineering,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2022,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Business Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,,,,Spring 2023,,,Fall 2022,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Research Honors Spclty,,Fall 2022,,,Fall 2022,,,Fall 2023,,,,,,Spring 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Space Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Spring 2023,Fall 2022,,,Summer 2023,,,Fall 2023,,,,,,Fall 2023,,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,,,,,,,Fall 2022,,Fall 2022,Spring 2023,Fall 2023,,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,,Fall 2022,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,,Spring 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Fall 2023,,,,,,Spring 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,Fall 2022,,Fall 2022,,Spring 2023,Fall 2023,,Spring 2023,,,,
Fall 2022,Electrical Engineering,Electrical Engineering,,Fall 2019,,,,,,,,,Fall 2019,Fall 2019,,Fall 2020,,Spring 2020,,,,,Spring 2021
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Spring 2023,,Fall 2023,Fall 2022,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Spring 2023,,,,
Fall 2022,Computer Science,Professional Comp Sci,,,,,,,,,,Fall 2021,,Fall 2021,,Spring 2022,Spring 2022,Spring 2022,,,,,Fall 2022
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Spring 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,Fall 2022,,,Summer 2022,,,Spring 2023,,Spring 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Spring 2023,,,Fall 2022,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,Fall 2022,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2022,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,,Fall 2022,,,,,Spring 2023,Fall 2023,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,,,,Fall 2022,,Fall 2022,Spring 2023,Fall 2022,Spring 2023,,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Fall 2022,,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Economics and Business,Engineering & Tech Management,,,,,Spring 2023,,,Summer 2023,,Fall 2022,,,,Fall 2023,,Summer 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Spring 2023,,,,Summer 2023,Fall 2022,,Fall 2023,,,,,,Fall 2023,,,Fall 2023,,,,
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Spring 2023,,,Fall 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Business Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,Fall 2023,,,,,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,,,,,,,Fall 2022,,Fall 2022,Spring 2023,,Summer 2023,Fall 2022,,,,
Fall 2022,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,Fall 2022,,Spring 2022,,,,,Spring 2023,Fall 2022,Spring 2023,,,Fall 2023,
Fall 2022,Computer Science,Computer Science,Fall 2019,,,,,,,,,Spring 2020,,Fall 2020,,,Fall 2022,Fall 2022,,,,Spring 2021,Fall 2023
Fall 2022,Computer Science,Computer Science,Fall 2019,,,,,,,Spring 2023,,Spring 2020,,,,Fall 2022,Fall 2023,Spring 2023,Spring 2023,,,,
Fall 2022,Physics,Engineering Physics,,Fall 2022,,,,,,Fall 2022,,,Fall 2022,,,Fall 2023,Fall 2023,Spring 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,Spring 2023,,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,Fall 2023,Spring 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Research Honors Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Spring 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Spring 2023,,,,
Fall 2022,Physics,Engineering Physics,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Spring 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,Spring 2023,,,,,,,Fall 2022,,,Fall 2022,,,Fall 2023,Fall 2023,Fall 2023,Spring 2023,,,,
Fall 2022,Interdisciplinary Program,Quantitative Biosci & Eng,,,,,,,,,,,Summer 2022,,Summer 2022,Spring 2023,Spring 2023,Fall 2022,Spring 2023,,,,Fall 2023
Fall 2022,Computer Science,CS-Data Science Spclty,,,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,Spring 2023,Fall 2022,Fall 2023,,,,Fall 2023
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Data Science Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,,Fall 2022,,Fall 2022,Fall 2022,Spring 2023,Fall 2022,Fall 2023,Fall 2023,,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Fall 2023,,,,
Fall 2022,Computer Science,CS-Robotics Intel Sys Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Fall 2023,Spring 2023,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,,Fall 2022,,Fall 2022,Fall 2022,Spring 2023,,,Fall 2023,,Spring 2023,Fall 2023
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,,,,Fall 2022,,,Fall 2022,,,Fall 2022,Spring 2023,,Spring 2023,Fall 2023,,,
Fall 2022,Interdisciplinary Program,Robotics,,,,,,,,,,,Fall 2022,,Fall 2022,Fall 2022,Fall 2022,,,Summer 2023,,Spring 2023,Spring 2023
Fall 2022,Computer Science,Computer Science,Fall 2018,,,,,,,,,Fall 2016,,Spring 2017,,Fall 2018,Spring 2018,Fall 2017,Spring 2018,,,Spring 2019,
Fall 2022,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Spring 2022,Fall 2021,Spring 2022,,,Fall 2022,Fall 2023
Fall 2022,Computer Science,Computer Science,Spring 2019,,,,,,,,,Spring 2019,,Spring 2020,,Spring 2020,Fall 2021,Fall 2020,Fall 2023,Fall 2023,,,
Fall 2022,Computer Science,Computer Science,,Fall 2019,,,,,,,,Fall 2019,,Spring 2020,,Fall 2020,Fall 2020,Spring 2021,,,,Spring 2022,Fall 2021
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,,,,Fall 2022,,Fall 2022,,Fall 2022,Fall 2022,Spring 2023,,Fall 2023,,Fall 2023
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,,,,Spring 2023,,Fall 2022,,,,Spring 2023,Fall 2023,Spring 2023,Spring 2023,,,Fall 2023,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,Fall 2021,,Fall 2021,,Spring 2022,Spring 2022,Spring 2022,Spring 2022,,,Fall 2022,Fall 2022
Fall 2022,Computer Science,CS-Computer Eng Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Spring 2023,Spring 2023,,,,Fall 2023
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Summer 2023,Spring 2023,,,,Fall 2023
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,Fall 2023,Spring 2023,Fall 2023,,,,Fall 2023
Fall 2022,Computer Science,CS-Space Spclty,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Spring 2023,Fall 2023,Spring 2023,Fall 2022,,,Fall 2023,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,,,,Fall 2022,,,Fall 2022,,,Spring 2023,Fall 2023,Spring 2023,Fall 2023,,,,Fall 2023
Fall 2022,Computer Science,Computer Science,Spring 2023,,,,,,,,,,Fall 2022,,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,,Fall 2023,,
Fall 2022,Computer Science,Computer Science,,Fall 2022,,,Fall 2022,,,Spring 2023,,,,,,Fall 2022,Fall 2023,Fall 2023,Spring 2023,,,Fall 2023,
Fall 2022,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Summer 2023,,,,,,Fall 2023,Fall 2023,Summer 2023,Spring 2023,,,Fall 2023,
