Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Fall 2018,Physics,Quantum Engineering,3243,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2017,Computer Science,Computer Science,3248,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,Business 
Fall 2017,Computer Science,Computer Science,3250,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Computer Science,Computer Science,3251,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,Data Science 
Fall 2018,Computer Science,Computer Science,3252,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2018,8091,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3253,Fall 2019,CSCI442,Pass,Fall,2019,Fall,2018,8079,8075,Computer Eng 
Fall 2018,Computer Science,Computer Science,3254,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2017,Computer Science,Computer Science,3255,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,N/A
Fall 2017,Computer Science,Computer Science,3257,Fall 2018,CSCI442,Pass,Fall,2018,Fall,2017,8075,8071,Computer Eng 
Fall 2017,Computer Science,Computer Science,3258,Fall 2018,CSCI442,Pass,Fall,2018,Fall,2017,8075,8071,Research Honors 
Fall 2018,Computer Science,Computer Science,3259,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3262,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Computer Science,Computational & Applied Math,3263,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,N/A
Fall 2018,Computer Science,Computer Science,3264,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,N/A
Fall 2018,Computer Science,Computer Science,3267,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3268,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3269,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3270,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2018,Computer Science,Computer Science,3271,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2020,Computer Science,Computer Science,3276,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2020,8091,8083,Data Science 
Fall 2018,Computer Science,Computer Science,3277,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Computer Science,Computer Science,3278,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2018,Computer Science,Computer Science,3279,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2018,8095,8075,N/A
Fall 2019,Computer Science,Computer Science,3282,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3283,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3284,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Computer Science,Computer Science,3285,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,Computer Eng 
Fall 2019,Computer Science,Computer Science,3286,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3287,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,N/A
Fall 2019,Computer Science,Computer Science,3288,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3289,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,N/A
Fall 2019,Computer Science,Computer Science,3290,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3291,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Data Science 
Fall 2019,Interdisciplinary Program,Robotics,3292,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,N/A
Fall 2019,Computer Science,Computer Science,3293,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2019,8084,8079,Computer Eng 
Fall 2019,Computer Science,Computer Science,3294,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2019,8084,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3295,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Business 
Fall 2019,Computer Science,Computer Science,3296,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3297,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3298,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2019,8095,8079,N/A
Fall 2019,Computer Science,Computer Science,3299,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Spring 2019,Computer Science,Computer Science,3300,Spring 2021,CSCI442,Pass,Spring,2021,Spring,2019,8084,8076,Computer Eng 
