Semester Admitted,Major,Department,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem,MATH111_Pass_Sem,MATH111_Tran_Sem,MATH112_Pass_Sem,MATH113_Pass_Sem,MATH122_Pass_Sem,MATH213_Pass_Sem,MATH214_Pass_Sem,MATH223_Pass_Sem,MATH224_Pass_Sem,MATH225_Pass_Sem,MATH235_Pass_Sem,MATH300_Pass_Sem,MATH307_Pass_Sem,MATH332_Pass_Sem,MATH342_Pass_Sem,PHGN100_Pass_Sem,PHGN100_Tran_Sem,PHGN200_Pass_Sem,CSCI404_Pass_Sem,CSCI410_Pass_Sem,CSCI422_Pass_Sem,CSCI423_Pass_Sem,CSCI425_Pass_Sem,CSCI432_Pass_Sem,CSCI436_Pass_Sem,CSCI437_Pass_Sem,CSCI440_Pass_Sem,CSCI441_Pass_Sem,CSCI443_Pass_Sem,CSCI444_Pass_Sem,CSCI445_Pass_Sem,CSCI446_Pass_Sem,CSCI448_Pass_Sem,CSCI455_Pass_Sem,CSCI470_Pass_Sem,CSCI471_Pass_Sem,CSCI473_Pass_Sem,CSCI474_Pass_Sem,CSCI475_Pass_Sem,CSCI477_Pass_Sem,CSCI478_Pass_Sem
Spring 2018,Electrical Engineering,Electrical Enginrg & Comp Sci,,,,,,,,,,Fall 2015,,,,,,,,,,,,,Fall 2015,,,,,,,,Fall 2015,,,,Fall 2015,,,Fall 2015,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,Spring 2015,,,,,Spring 2015,,,,,,Fall 2016,,,,Spring 2015,,,,,,,,,Fall 2022,,,,,,,,,Fall 2020,,,,,,
Fall 2017,Non-degree Graduate,Non-Degree Program Grad Level,,,,,,,,,,Spring 2010,,,,,,,,,,,,,Spring 2010,,,,,,,,,,,,,,,Spring 2010,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Engineering & Tech Management,Economics and Business,,,,,,,,,,Fall 2011,,,,,,,,,,,,Fall 2008,,Spring 2009,,,Fall 2009,,,,Spring 2010,,,,,,Spring 2009,,Fall 2009,,,,,,,,,,,,,,,,,,,,,,,
Spring 2024,CS-Robotics Intel Sys Spclty,Computer Science,,,,Spring 2024,,Spring 2024,,,,,,,,,,,,,,,,,Spring 2024,,,,,,,,,,,,,,,Spring 2024,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,Non-degree Graduate,Non-Degree Program Grad Level,,,,,,,,,,,,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,Chemical Engineering,Chemical & Biological Engineer,,,,,,,,,,,Fall 2020,,,,,,,,,,,,Fall 2020,,,,Fall 2021,,,,Fall 2022,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2019,,,,,,,,Summer 2019,,,Spring 2021,,,,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2018,Civil & Environ Engineering,Civil & Environmental Enginrng,,,,,,,,,,Fall 2009,,,,,,,,,,,,,Fall 2008,,,Fall 2008,Spring 2009,,,,Fall 2009,,,,,,Fall 2008,,Fall 2009,,,,,,,,,,,,,,,,,,,,,,,
Fall 2017,Engineering & Tech Management,Economics and Business,,,,,,,,,,Spring 2010,,,,,,,,,,,,Fall 2008,,Spring 2009,,,Fall 2009,,,,Spring 2010,,,,,,Spring 2009,,Fall 2009,,,,,,,,,,,,,,,,,,,,,,,
Spring 2018,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2009,,Spring 2013,,,,Fall 2014,,,,,,,Fall 2008,,,Fall 2008,Spring 2009,,,,Fall 2009,,,,,Fall 2010,Fall 2009,,Spring 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2019,Robotics,Interdisciplinary Program,,,,,,,,,,Fall 2019,,Summer 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,
Fall 2017,Civil & Environ Engineering,Civil & Environmental Enginrng,,,,,,,,,,Spring 2010,,,,,,,,,,,,Spring 2009,,Summer 2009,,,Fall 2009,,,,Fall 2010,,,,,,Fall 2009,,Spring 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Data Science,Applied Math & Statistics,,,,,,,,,,Fall 2020,,,,,,,,,,,,,Summer 2009,,,,,,,,Fall 2009,,,,Fall 2020,,,Summer 2009,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,Fall 2022,,Fall 2022,,,Spring 2023,Spring 2023,Fall 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2019,Advanced Energy Systems,Interdisciplinary Program,,,,,,,,,,Fall 2011,,,,,,,,,,,,Fall 2010,,Spring 2011,,,,,,,Spring 2012,,,Spring 2014,,,Spring 2011,,Fall 2011,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Civil Engineering,Civil & Environmental Enginrng,Spring 2021,,,,,,,,,Spring 2021,,Fall 2021,,,Spring 2022,Spring 2022,,,,,,,,Summer 2021,,,Fall 2021,,,,Summer 2022,,,,Spring 2022,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,EE-Antenn & Wirels Comm Spclty,Electrical Engineering,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,Electrical Engineering,Electrical Engineering,,Spring 2014,,,,,,,,,Fall 2009,Fall 2011,,,Spring 2012,Fall 2011,Spring 2012,Summer One 2013,Spring 2014,Fall 2013,Spring 2012,,Fall 2009,,Fall 2010,,,,,Fall 2010,Spring 2011,,,,Fall 2011,,,Fall 2009,Fall 2010,Fall 2012,Fall 2013,,,,,,,,,,,Fall 2013,,,,,Fall 2013,,,,,
